gene_symbol,study_id,assay_id,log2fc,adj_pvalue,test_group,ref_group,go_terms
RARRES3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.600,8.10e-14,psoriasis; injection of interferon gamma,psoriasis; none,
WARS,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.600,6.05e-14,psoriasis; injection of interferon gamma,psoriasis; none,
WARS1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.600,6.05e-14,psoriasis; injection of interferon gamma,psoriasis; none,
SERPINB4,E-GEOD-30999,'lesional' vs 'non-lesional',4.600,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SPRR2C,E-GEOD-41745,'lesional' vs 'non-lesional',4.600,2.01e-28,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SERPINB3,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.600,2.90e-08,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
LTF,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.600,1.95e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
ABCG4,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.600,0.00e+00,lesional skin; psoriasis,normal; normal,
SPRR2G,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.600,0.00e+00,lesional skin; psoriasis,normal; normal,
IFIT3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.500,1.07e-12,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0009615
OASL,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.500,4.89e-12,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0009615
PLAAT4,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.500,5.38e-11,normal; injection of interferon gamma,normal; none,
RARRES3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.500,5.38e-11,normal; injection of interferon gamma,normal; none,
SOCS1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.500,1.58e-09,normal; injection of interferon gamma,normal; none,
WARS,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.500,1.11e-10,normal; injection of interferon gamma,normal; none,
WARS1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.500,1.11e-10,normal; injection of interferon gamma,normal; none,
IFIT3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.500,7.19e-15,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0009615
CHAC1,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.500,8.50e-04,lesional,non-lesional,
OASL,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.500,1.31e-03,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SERPINB4,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.500,4.70e-04,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
HPSE,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',4.500,1.14e-15,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
KRT6A,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.500,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
KYNU,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.500,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
OASL,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.500,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
PLA2G4D,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.500,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
VNN3,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',4.500,2.20e-08,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
CCL8,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.400,2.62e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
APOL1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.400,1.54e-13,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0009615
MX1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.400,9.97e-11,normal; injection of interferon gamma,normal; none,GO:0009615
PLA1A,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.400,4.89e-12,normal; injection of interferon gamma,normal; none,GO:0009615
IRF1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.400,5.71e-14,psoriasis; injection of interferon gamma,psoriasis; none,
MX1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.400,1.90e-13,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
S100A9,E-GEOD-41745,'lesional' vs 'non-lesional',4.400,1.28e-25,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
ATP12A,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',4.400,3.11e-19,0 day; lesional; none,0 day; non-lesional; none,
IL36G,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',4.400,3.99e-19,0 day; lesional; none,0 day; non-lesional; none,
KRT16,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from bulk tissue',4.400,5.57e-03,lesional; two-cycle cDNA synthesis from bulk tissue,non-lesional; two-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
SPRR2C,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from bulk tissue',4.400,6.51e-03,lesional; two-cycle cDNA synthesis from bulk tissue,non-lesional; two-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
ATP12A,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.400,9.24e-19,lesional,non-lesional,
IL36A,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.400,1.48e-03,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
IL36G,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.400,8.85e-19,lesional,non-lesional,
GJB2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.400,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
LCN2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.400,0.00e+00,lesional skin; psoriasis,normal; normal,
RND1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.400,0.00e+00,lesional skin; psoriasis,normal; normal,
SLC6A14,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.400,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
TRIM15,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.400,0.00e+00,lesional skin; psoriasis,normal; normal,
TMPRSS11D,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',4.400,4.47e-09,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
IFIH1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.300,3.34e-11,normal; injection of interferon gamma,normal; none,GO:0009615
APOL1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.300,1.87e-14,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0009615
OAS3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.300,4.15e-14,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
SOCS1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.300,4.35e-12,psoriasis; injection of interferon gamma,psoriasis; none,
RHCG,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from bulk tissue',4.300,5.57e-03,lesional; two-cycle cDNA synthesis from bulk tissue,non-lesional; two-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
RGS1,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from sliced tissue section',4.300,6.75e-03,lesional; two-cycle cDNA synthesis from sliced tissue section,non-lesional; two-cycle cDNA synthesis from sliced tissue section,
MMP1,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.300,2.09e-03,lesional,non-lesional,GO:0009615
SOST,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.300,2.33e-03,lesional,non-lesional,
H4C3,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.300,3.86e-06,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
HIST1H4C,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.300,3.86e-06,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
ADAMDEC1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.300,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
CTA-384D8.35,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.300,0.00e+00,lesional skin; psoriasis,normal; normal,
KLHDC7B-DT,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.300,0.00e+00,lesional skin; psoriasis,normal; normal,
TEX101,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.300,0.00e+00,lesional skin; psoriasis,normal; normal,
U62317.1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.300,0.00e+00,lesional skin; psoriasis,normal; normal,
U62317.2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.300,0.00e+00,lesional skin; psoriasis,normal; normal,
OAS2,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.200,3.44e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
PLA1A,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.200,6.62e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
IFI35,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.200,9.97e-11,normal; injection of interferon gamma,normal; none,
KRT16,E-GEOD-41745,'lesional' vs 'non-lesional',4.200,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
KRT6A,E-GEOD-41745,'lesional' vs 'non-lesional',4.200,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
KRT6C,E-GEOD-41745,'lesional' vs 'non-lesional',4.200,1.40e-45,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
TMPRSS11D,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',4.200,3.78e-22,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
ATP12A,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.200,2.15e-03,lesional,non-lesional,
HPSE,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.200,2.34e-14,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
PI3,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.200,9.10e-09,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
PRSS27,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.200,4.70e-04,lesional,non-lesional,
TMPRSS11D,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.200,2.73e-21,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
IFIT1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.100,1.07e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
ISG20,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.100,7.21e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
TYMP,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.100,5.40e-10,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0009615
GBP1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.100,1.22e-11,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0002376; GO:0009615
IFI35,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.100,5.18e-14,psoriasis; injection of interferon gamma,psoriasis; none,
IFIH1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.100,3.82e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
TYMP,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.100,1.51e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0009615
S100A7A,E-GEOD-30999,'lesional' vs 'non-lesional',4.100,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
TMPRSS11D,E-GEOD-41745,'lesional' vs 'non-lesional',4.100,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
AKR1B10,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',4.100,7.33e-20,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
HPSE,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',4.100,1.19e-14,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
KYNU,E-GEOD-26866,'lesional' vs 'non-lesional' in 'one-cycle cDNA synthesis from bulk tissue',4.100,7.00e-03,lesional; one-cycle cDNA synthesis from bulk tissue,non-lesional; one-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
AKR1B10,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.100,1.98e-19,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
ATP12A,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.100,3.56e-06,lesional,non-lesional,
CXCL8,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.100,6.01e-07,lesional,non-lesional,
SELL,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.000,1.10e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
TDO2,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.000,9.66e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
IFI44,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.000,2.87e-10,normal; injection of interferon gamma,normal; none,GO:0009615
PLA1A,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.000,6.99e-11,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
SELL,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.000,1.46e-11,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
AKR1B10,E-GEOD-30999,'lesional' vs 'non-lesional',4.000,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
ATP12A,E-GEOD-30999,'lesional' vs 'non-lesional',4.000,0.00e+00,lesional,non-lesional,
SERPINB3,E-GEOD-30999,'lesional' vs 'non-lesional',4.000,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
TMPRSS11D,E-GEOD-30999,'lesional' vs 'non-lesional',4.000,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
DSC2,E-GEOD-26866,'lesional' vs 'non-lesional' in 'one-cycle cDNA synthesis from bulk tissue',4.000,6.59e-03,lesional; one-cycle cDNA synthesis from bulk tissue,non-lesional; one-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
KRT16,E-GEOD-26866,'lesional' vs 'non-lesional' in 'one-cycle cDNA synthesis from bulk tissue',4.000,7.00e-03,lesional; one-cycle cDNA synthesis from bulk tissue,non-lesional; one-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
AKR1B10,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.000,9.10e-09,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CHI3L2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.000,0.00e+00,lesional skin; psoriasis,normal; normal,
PRSS27,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.000,0.00e+00,lesional skin; psoriasis,normal; normal,
UGT1A7,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.000,0.00e+00,lesional skin; psoriasis,normal; normal,
AKR1B10,E-GEOD-16161,'atopic dermatitis' vs 'normal',3.900,5.60e-06,atopic dermatitis,normal,GO:0070268; GO:0031424; GO:0009615
MX1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.900,1.33e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
SAMD9,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.900,1.70e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
XAF1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.900,8.99e-10,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0009615
CXCL8,E-GEOD-30999,'lesional' vs 'non-lesional',3.900,2.54e-41,lesional,non-lesional,
OASL,E-GEOD-30999,'lesional' vs 'non-lesional',3.900,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
AKR1B10,E-GEOD-26866,'lesional' vs 'non-lesional' in 'one-cycle cDNA synthesis from bulk tissue',3.900,6.59e-03,lesional; one-cycle cDNA synthesis from bulk tissue,non-lesional; one-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
KLK13,E-GEOD-26866,'lesional' vs 'non-lesional' in 'one-cycle cDNA synthesis from bulk tissue',3.900,6.82e-03,lesional; one-cycle cDNA synthesis from bulk tissue,non-lesional; one-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
KYNU,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from bulk tissue',3.900,6.51e-03,lesional; two-cycle cDNA synthesis from bulk tissue,non-lesional; two-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
ADAMDEC1,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,1.66e-03,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CTA-384D8.35,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,1.78e-03,lesional,non-lesional,
CXCL13,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,3.51e-15,lesional,non-lesional,GO:0009615
IGFL1,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,1.25e-17,lesional,non-lesional,
IL26,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,4.81e-04,lesional,non-lesional,
KLHDC7B-DT,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,1.78e-03,lesional,non-lesional,
KLK6,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,3.11e-13,lesional,non-lesional,
LCN2,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,2.89e-06,lesional,non-lesional,
U62317.1,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,1.78e-03,lesional,non-lesional,
U62317.2,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,1.78e-03,lesional,non-lesional,
VNN3,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.900,9.54e-07,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
KLK13,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.900,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
TRIM10,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.900,0.00e+00,lesional skin; psoriasis,normal; normal,
CXCL13,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.900,2.19e-08,none; skin lesion; 0 week,none; normal; 0 week,GO:0009615
IFI44L,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.800,1.96e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
MMP9,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.800,5.60e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
RTP4,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.800,8.59e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
SERPINB4,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.800,1.13e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
TLR7,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.800,1.12e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
IFIT1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.800,8.85e-10,normal; injection of interferon gamma,normal; none,GO:0009615
LAMP3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.800,1.44e-10,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0009615
MX2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.800,2.36e-11,normal; injection of interferon gamma,normal; none,GO:0009615
PLAC8,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.800,2.35e-08,normal; injection of interferon gamma,normal; none,GO:0009615
IFIT1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.800,1.12e-11,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
MX2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.800,1.46e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
XAF1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.800,7.88e-13,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0009615
KYNU,E-GEOD-30999,'lesional' vs 'non-lesional',3.800,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
LTF,E-GEOD-41745,'lesional' vs 'non-lesional',3.800,5.92e-33,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
RHCG,E-GEOD-30999,'lesional' vs 'non-lesional',3.800,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
C10orf99,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.800,6.42e-13,0 day; lesional; none,0 day; non-lesional; none,
CXCL13,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.800,1.75e-15,0 day; lesional; none,0 day; non-lesional; none,GO:0009615
IGFL1,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.800,2.02e-17,0 day; lesional; none,0 day; non-lesional; none,
KLK6,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.800,4.26e-13,0 day; lesional; none,0 day; non-lesional; none,
C10orf99,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.800,1.80e-12,lesional,non-lesional,
CXCL1,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.800,1.66e-03,lesional,non-lesional,
LCN2,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.800,1.89e-03,lesional,non-lesional,
AAK1,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.800,6.47e-06,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
GZMB,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.800,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0009615
KCNK10,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.800,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
ATP12A,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.800,1.37e-08,none; skin lesion; 0 week,none; normal; 0 week,
OASL,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.800,8.70e-09,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
C1QB,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.700,3.05e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
CD69,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.700,2.70e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
SERPINB3,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.700,9.58e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
RTP4,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.700,8.06e-11,normal; injection of interferon gamma,normal; none,GO:0009615
